creturn_dates,creturn_value
2000-12-30,1.0
2001-01-02,0.998575
2001-01-03,0.9450908750734486
2001-01-04,0.9762321743406261
2001-01-05,0.9651645475026367
2001-01-08,0.9655135841794003
2001-01-09,0.9677831312640535
2001-01-10,0.9567155044260642
2001-01-11,0.9477098526893328
2001-01-12,0.9206139315654027
2001-01-15,0.9186244930660262
2001-01-16,0.9496992911887094
2001-01-17,0.9208940401506794
2001-01-18,0.9387009862966742
2001-01-29,0.9275640375127308
2001-01-30,0.9295534760121071
2001-01-31,0.9250837037887548
2001-02-01,0.906343896253825
2001-02-02,0.9177910860939311
2001-02-05,0.9143045419831461
2001-02-06,0.9025311653985619
2001-02-07,0.8900355405123419
2001-02-08,0.8682794161244142
2001-02-09,0.8900499566495791
2001-02-12,0.9170470529277688
2001-02-13,0.9277049830728792
2001-02-14,0.9070152376311038
2001-02-15,0.9249540794126829
2001-02-16,0.8993673864973079
2001-02-19,0.9214775059159039
2001-02-20,0.950259737416544
2001-02-21,0.9377719753830236
2001-02-22,0.9038766651293231
2001-02-23,0.9176960048817782
2001-02-26,0.9172949438912406
2001-02-27,0.8964985645193946
2001-03-01,0.8852245547405685
2001-03-02,0.8551720487021324
2001-03-05,0.8630780447714481
2001-03-06,0.8588633969538132
2001-03-07,0.8600093461788193
2001-03-08,0.8597404473966166
2001-03-09,0.8601642822808504
2001-03-12,0.8516290995623084
2001-03-13,0.8326251008901218
2001-03-14,0.8588332495668212
2001-03-15,0.8743300476432526
2001-03-16,0.8913749958009131
2001-03-19,0.8701787511393273
2001-03-20,0.8691301656711312
2001-03-21,0.8931083012083801
2001-03-22,0.9118191268018732
2001-03-23,0.9177507809457072
2001-03-26,0.9307835782944945
2001-03-27,0.9181225163514508
2001-03-28,0.9252837263255093
2001-03-29,0.930588841931259
2001-03-30,0.9213910252478106
2001-04-02,0.8781200673829592
2001-04-03,0.8475894042550853
2001-04-04,0.8436821841808531
2001-04-06,0.8637413579520952
2001-04-09,0.869897282927055
2001-04-10,0.869326139983613
2001-04-11,0.8798482697157177
2001-04-12,0.8883463293816327
2001-04-13,0.8853143085667001
2001-04-16,0.8756211907506908
2001-04-17,0.8624674731081948
2001-04-18,0.8744971493161311
2001-04-19,0.8641740414840959
2001-04-20,0.8649792116160452
2001-04-23,0.8670487045400173
2001-04-24,0.8949816663456708
2001-04-25,0.903994478630836
2001-04-26,0.9061421707058137
2001-04-27,0.8825454971791181
2001-04-30,0.8587869285060713
2001-05-02,0.8215010310703936
2001-05-03,0.8312920230474836
2001-05-04,0.8068291287226902
2001-05-07,0.790357050999703
2001-05-08,0.7729411465156913
2001-05-09,0.7837906570448163
2001-05-10,0.7618833749354973
2001-05-11,0.7718891848180095
2001-05-14,0.7829065076772356
2001-05-15,0.7875666736836323
2001-05-16,0.7850698271032628
2001-05-17,0.7899085395572232
2001-05-18,0.7795408890321868
2001-05-21,0.7548391014002122
2001-05-22,0.7359821873139764
2001-05-23,0.7687415924486005
2001-05-24,0.7670008844448206
2001-05-25,0.76181517882247
2001-05-28,0.7579767179956436
2001-05-29,0.7681697196838384
2001-05-30,0.7693471100825293
2001-05-31,0.7680145663522698
2001-06-01,0.7615878013727584
2001-06-04,0.7527768131461481
2001-06-05,0.7703464614846038
2001-06-06,0.797987950921825
2001-06-07,0.7919341999391399
2001-06-08,0.7884599527418209
2001-06-11,0.7957761555724628
2001-06-12,0.8066859252433206
2001-06-13,0.8085872327118628
2001-06-14,0.7902657395030945
2001-06-15,0.8004752163989686
2001-06-18,0.8031354935586721
2001-06-19,0.8062522581817374
2001-06-20,0.7991699961103939
2001-06-21,0.7910793594435143
2001-06-22,0.7743485272634165
2001-06-26,0.7546247166259654
2001-06-27,0.7377059886024895
2001-06-28,0.7279710786336868
2001-06-29,0.7455961192034785
2001-07-02,0.7288682763665533
2001-07-03,0.7060167068964046
2001-07-04,0.6954640015684451
2001-07-05,0.6957866486516792
2001-07-06,0.7061560166120637
2001-07-09,0.7105531844033804
2001-07-10,0.7042626246698871
2001-07-11,0.6976343545648674
2001-07-12,0.7041725861081738
2001-07-13,0.6834040071338295
2001-07-16,0.6669762833864548
2001-07-17,0.6610266771359118
2001-07-18,0.6472827267856289
2001-07-19,0.6371069792480231
2001-07-20,0.6291831533506542
2001-07-23,0.607716288464547
2001-07-24,0.5781604278751009
2001-07-25,0.5903346015118163
2001-07-26,0.6178202442484942
2001-07-27,0.6140733663234883
2001-07-31,0.6069914693339934
2001-08-01,0.6011396561761706
2001-08-02,0.6100399690829272
2001-08-03,0.6109898821000586
2001-08-06,0.6047764998812575
2001-08-07,0.6029811907577203
2001-08-08,0.6199714486474718
2001-08-09,0.621078482700402
2001-08-10,0.6187567155461764
2001-08-13,0.6248663603904426
2001-08-14,0.6338758060898121
2001-08-15,0.6430975989706266
2001-08-16,0.6526958781665677
2001-08-17,0.6595928281330851
2001-08-20,0.6554508828889264
2001-08-21,0.6580264613528264
2001-08-22,0.66125092903126
2001-08-23,0.6677475235725477
2001-08-24,0.6550344535276796
2001-08-27,0.6614952777674655
2001-08-28,0.6734761270464809
2001-08-29,0.6851722869865446
2001-08-30,0.6793303945000739
2001-08-31,0.6866307738854452
2001-09-03,0.6745337593330445
2001-09-04,0.6706870329952842
2001-09-05,0.6522010127547452
2001-09-06,0.6357923007024892
2001-09-07,0.6382003801102318
2001-09-10,0.6129088784829921
2001-09-11,0.5868086105939361
2001-09-13,0.5474865961561252
2001-09-14,0.541624951521538
2001-09-19,0.5530194355329492
2001-09-20,0.5632471169818896
