window,exit,exit,exit,exit,exit,exit
metric,mae,gmfe,bmfe,mdd,pdays,return
trade_index,,,,,,
0,-0.018073007319806544,0.8862330416537474,0.15962900264657476,-0.228572692626137,249.0,0.6579838344340818
1,0.0,0.712883666274974,0.0,-0.14768750093881855,251.0,0.6109800235017664
2,0.0,0.40852581837419155,0.0,-0.23236019611624892,251.0,0.166834666609476
3,0.0,1.595361037673496,0.0,-0.1514660480665906,251.0,1.4296926635822866
4,-0.025472139462733856,0.6660305813409473,0.046290596606997525,-0.15313504526140753,247.0,0.5971486962302681
5,0.0,1.4000946111089214,0.0,-0.1823525915680161,251.0,1.3130681594197187
6,-0.11495183069878046,0.18794319184361186,0.18794319184361186,-0.2549743326297603,100.0,-0.008594632721515283
7,-0.00412342945848565,0.3492081692414206,0.0,-0.16894327917185525,248.0,0.19264574228345333
8,-0.07438554256063235,0.4891422808530044,0.0,-0.22153209109730787,240.0,0.36150104917286296
9,0.0,1.0153618098043644,0.0,-0.31473265526982763,251.0,0.6014993579575485
10,-0.09486322704876249,0.7900662626720276,0.04940816673274062,-0.25554304082614043,239.0,0.6292292008835028
11,-0.03266143780225139,0.3165806477831514,0.2091843784289027,-0.2000073938644371,231.0,0.1364164668590242
12,0.0,1.423297943348211,0.0,-0.26409417731732965,502.0,1.4177443577656303
13,-0.09345916655982811,0.5957498580582368,0.06141564996245452,-0.14591344731704403,216.0,0.5815661474781462
14,-0.049912146531999824,0.47925646892262663,0.14973011920261925,-0.3363883013950305,493.0,0.3756968233702884
15,0.0,0.9525801223401478,0.0,-0.37126587588472004,502.0,0.29450514978825915
16,-0.0014119931165337274,0.8079799673476578,0.08321382870758498,-0.3332550321238338,501.0,0.2659014693553359
17,0.0,1.1783086221832804,0.0,-0.33606995762498715,502.0,0.5420852957869937
18,-0.020173261771476603,0.47311621106899704,0.00865026386831591,-0.0895362409930639,493.0,0.42857600882339075
19,-0.5164493716297829,0.01123690351055262,0.01123690351055262,-0.5218226048796772,2.0,-0.47716141065244744
20,-0.07989439343490423,1.5249554367201439,1.5249554367201439,-0.6355953086600646,485.0,-0.025544008340901092
21,-0.01954631257966144,0.6905503299398199,0.037455026540391456,-0.23060668206952029,283.0,0.5771526758200072
22,-0.034168035711322986,0.8800071540650025,0.26423760346197733,-0.41179164786881395,492.0,0.14175742925680668
23,-0.012820438915566279,1.186138476881128,0.06666743527811225,-0.2997526606123896,500.0,0.5878897580603315
24,-0.3749999999999998,0.004958930443900833,0.004958930443900833,-0.37808403799752177,2.0,-0.08189152976814573
25,-0.20910518532070954,0.22466419674030802,0.22466419674030802,-0.3541945483632025,285.0,-0.045274360029883165
26,-0.2793088104420062,0.06790269949569816,0.06790269949569816,-0.3251340315008755,60.0,-0.13874221299317802
27,-0.08981912946642456,0.6856056629865765,0.6856056629865765,-0.4600274011177051,696.0,0.092630541242406
28,-0.4800525262631312,0.03238751728805589,0.03238751728805589,-0.49636404447943994,5.0,-0.35061648471294515
29,-0.022651923958663778,1.3482523895178673,0.10679645892850864,-0.5059327125262838,746.0,1.0200596056854696
30,-0.3157964180804299,0.07890222984562634,0.07890222984562634,-0.3658335639759789,82.0,-0.18100568746050416
31,-0.4210829841897805,0.5957912462766837,0.5957912462766837,-0.6372225896332278,588.0,0.1920409687399971
32,-0.6037393174436771,0.0107530114068346,0.0107530114068346,-0.6079549819942853,3.0,-0.2766699107318442
33,-0.5864871785752406,1.8465981434719216,1.8465981434719216,-0.8547343880016698,546.0,-0.31974748372870765
34,-0.5817785584104878,0.04304662558086769,0.04304662558086769,-0.599038593929963,6.0,-0.3754734422141194
35,-0.24422876284662354,0.6349680008634366,0.021871739625764386,-0.42911210891705187,361.0,0.23803080391584497
36,-0.5732854309326467,1.11145232292915,1.11145232292915,-0.7979047102160536,376.0,-0.44799147607094725
37,0.0,0.9646732273530134,0.0,-0.41250896285068617,750.0,0.7756918159643351
38,-0.36263469271231896,0.19794210187446182,0.19794210187446182,-0.4679498230420541,110.0,-0.06424351389546779
39,-0.27155483700644345,0.19590208822881383,0.19590208822881383,-0.39088227191540614,167.0,-0.11233148096026624
40,-0.5320532423427915,0.03610114113727447,0.03610114113727447,-0.5483580327461395,5.0,-0.3142070785920068
41,-0.5172943172484046,0.021275794412301652,0.021275794412301652,-0.5273503147801806,5.0,-0.12165923577159976
42,0.0,1.663957700969355,0.0,-0.3581575074189669,998.0,0.7982366889599382
43,-0.10368782319059278,0.20575624298411976,0.0,-0.13011551814460642,78.0,0.14797298540696868
44,-0.07749155025124155,0.6196682535584965,0.09593991823404746,-0.31229140135450373,985.0,0.5536791676922403
45,-0.39261830678493426,0.017339664700692037,0.017339664700692037,-0.40297059645879296,29.0,-0.20906863883341786
46,-0.07253024300332633,0.5537276752611164,0.5537276752611164,-0.4030680074995736,967.0,0.2718586470625648
47,-0.16758999027132182,0.921217976434981,0.921217976434981,-0.5667279715582814,894.0,0.3149119014160593
48,-0.4924508609065449,0.0,0.0,-0.4924508609065449,0.0,-0.334184731874287
49,-0.3164584989419231,2.7601951368244455,2.7601951368244455,-0.8182164818086168,682.0,-0.1526212436342821
50,0.0,1.6256546066386552,0.0,-0.3912811023562336,998.0,1.105782441608092
51,0.0,1.4872495196266802,0.0,-0.42569569751849756,998.0,1.0464589623936393
52,-0.38811327340131396,0.5761161788150058,0.5761161788150058,-0.6117756198285271,478.0,-0.38339669273363475
53,-0.24540593142673606,0.0,0.0,-0.24540593142673606,0.0,-0.14522453067278907
54,-0.4726519795879731,1.1273472478145128,1.1273472478145128,-0.7521100417650258,584.0,-0.39510057288105405
55,-0.005001886920854459,2.6810423227067677,0.00999758721595656,-0.28657647058823554,996.0,2.0782793756457187
56,-0.03965788113176538,0.6586340342018471,0.6586340342018471,-0.4210042124630815,463.0,0.14326227607426323
57,0.0,0.8755506941013973,0.0,-0.28493105033016874,998.0,0.3694943191555826
58,-0.1767142130917141,0.0,0.0,-0.1767142130917141,0.0,-0.10493107263538792
59,-0.06691417817571965,0.12602616084991602,0.07740317624261683,-0.1680986664738523,308.0,-0.04068586741850633
60,-0.009863230315895755,1.9272499559825587,0.037472966643079975,-0.15976828486621086,1239.0,1.9272499559825587
61,-0.03849833383628243,1.5693271780515845,1.5693271780515845,-0.6257768670423438,1236.0,0.028090428708099857
62,-0.5137422707744764,0.03787855031230469,0.03787855031230469,-0.5314887959875407,6.0,-0.187146322898463
63,-0.04035000271434641,0.5021196582883813,0.07017327404541396,-0.3360449452968438,476.0,0.04415502376287228
64,-0.29533555338635875,0.01851860500959912,0.01851860500959912,-0.30814769298495037,18.0,-0.10971047457136196
65,-0.0063685436462437295,0.5076625873479517,0.45682515620956177,-0.3179473513904477,1243.0,0.4242106333419622
66,-0.5425614225730955,0.01824870070402862,0.01824870070402862,-0.5507594783959692,7.0,-0.4041996010436618
67,-0.38534589956933574,0.6872092297499086,0.6872092297499086,-0.6356977607799282,263.0,-0.280843851874614
68,-0.01873071901886203,2.3197161025450197,0.09261267652728589,-0.5319119841045178,986.0,2.3197161025450197
69,-0.013335339091038234,1.3110222285147999,0.15332542828826257,-0.4536330371144792,1242.0,0.8641158148095744
70,-0.24795134036335575,0.9757301768799673,0.9757301768799673,-0.6193565961399323,1039.0,-0.17821044904642513
71,-0.2871918299003716,0.11496373348743893,0.04195759786877984,-0.31589522303248585,85.0,0.053447726582354305
72,-0.16336313134885505,0.4967762646020235,0.4967762646020235,-0.4410407965190458,999.0,0.18217777608505004
73,-0.04877663218168726,3.6010310364814737,0.02195563205873552,-0.5050018379058205,1240.0,2.5680624593820807
74,-0.39278050923344676,0.30861506749793066,0.30861506749793066,-0.5359831123390963,80.0,-0.08798666373809871
75,-0.1191674406822596,0.02351318641110156,0.02351318641110156,-0.13940282254072733,59.0,-0.07112218187959096
76,-0.11635568804587937,0.10589480955020925,0.10589480955020925,-0.2009689309297713,84.0,-0.018458769960647436
77,-0.2620666908539193,0.04285761403740351,0.04285761403740351,-0.29239303696581753,38.0,-0.20257924074012923
78,-0.24956679127309422,0.16884856462651432,0.16884856462651432,-0.3579722545437749,95.0,0.16715429429398543
79,-0.3935708610890414,0.057458240493136525,0.057458240493136525,-0.42652190347662744,26.0,-0.35862220467732786
80,-0.4595493349215807,0.0027268799121795695,0.0027268799121795695,-0.4610190711894022,2.0,-0.3232024197409755
81,-0.506238170651628,0.04297987107856449,0.04297987107856449,-0.5265854662777298,8.0,-0.503736540388491
82,-0.10365472451658775,1.105905369922259,0.6766940519707834,-0.4654091636874065,1452.0,1.086933017556507
83,-0.04233107041364115,0.06115803599621028,0.03226634038522258,-0.07997576209564605,220.0,0.01530431007262334
84,-0.46385078382698,0.0,0.0,-0.46385078382698,0.0,-0.3442139626619509
85,-0.3364915909961086,0.04539662039762016,0.004440228354600784,-0.3394246961904328,14.0,-0.20251327211113712
86,-0.022988658221131608,0.8634177886847554,0.0038303376003183676,-0.4495154788706075,489.0,0.17304835179412525
87,-0.23704754705758468,0.16735957075056662,0.050000619586363815,-0.2733790450114477,41.0,0.16735957075056662
88,-0.4848790874622706,0.409807654519041,0.409807654519041,-0.6346161755566123,466.0,0.015137019176564959
89,0.0,1.3668595163922248,0.0,-0.4762252843295277,1491.0,1.3360565409964589
90,-0.5618837744818872,0.07043850744051317,0.07043850744051317,-0.590713317511646,8.0,-0.2944264243444661
91,-0.24602210356918386,0.0,0.0,-0.24602210356918386,0.0,-0.1942215259349266
92,-0.12736413641363897,0.5284048404840533,0.5284048404840533,-0.42905450148274005,1390.0,-0.12736413641363897
93,-0.12828135538298613,0.4304618294580651,0.4304618294580651,-0.3906033515432794,679.0,0.16856002803305103
94,-0.15272553444924997,5.8488260924079984,0.3907160993041199,-0.44202170567471233,1193.0,4.21891260736005
95,0.0,3.956650312521006,0.0,-0.43161665643057345,1737.0,3.029131288691741
96,-0.23420682626127387,0.29022355115398213,0.11315089856389471,-0.3120490899062328,195.0,0.22931952281253376
97,-0.5048875782533795,0.011259550511594663,0.011259550511594663,-0.5104002513537262,3.0,-0.2825958526329375
98,-0.2579845502553132,0.019853358355519157,0.019853358355519157,-0.27242927263468253,13.0,-0.04351678086675714
99,-0.389378413334989,1.6481421461869057,1.6481421461869057,-0.7694151020011321,548.0,-0.2612233029118032
100,-0.14918563974701382,0.8412172146783676,0.8412172146783676,-0.5379065796961873,1654.0,0.13380118970214627
101,-0.35000040319654235,0.01951148706948702,0.01951148706948702,-0.36244014408132363,8.0,-0.2533622559652928
102,-0.045907982257718194,0.5316454800009904,0.5316454800009904,-0.37708038172014524,230.0,0.019696342158453284
103,-0.2764621819676727,0.24621689168466632,0.04259789751186016,-0.30602409638554195,74.0,0.24405697990825326
104,-0.43507213854657956,0.09988938333586894,0.09988938333586894,-0.4863775666785297,35.0,-0.06865206146356317
105,-0.5856301359901107,0.05642316922405621,0.05642316922405621,-0.6077614765735928,45.0,-0.34550850847211323
106,-0.42395581081823575,0.04677139198458269,0.04677139198458269,-0.44969437109889177,7.0,-0.13954923315541135
107,-0.48664714266727105,0.020472700774085695,0.020472700774085695,-0.49694601634779445,10.0,-0.19777903049135348
108,-0.19893488530430892,0.23694138604811665,0.23694138604811665,-0.3523823167927135,254.0,-0.013589072781283962
109,-0.4543631836754688,0.10820958547853254,0.10820958547853254,-0.5076411326212077,50.0,-0.3384250788775729
110,-0.007854558291412905,0.22162405985545997,0.0785357769736903,-0.14888193346455403,240.0,0.22162405985545997
111,-0.0074787568385520364,0.8942097834943556,0.0,-0.4412308614071111,1478.0,0.19299266674426474
112,-0.03709634247733773,0.20511356772492717,0.020967806883940288,-0.15139042856805862,224.0,0.03773589374921693
113,0.0,2.5236578281645126,0.0,-0.7142508363791068,1981.0,1.226161171349958
114,-0.4278195736817808,0.2183616005631439,0.2183616005631439,-0.5303689593846774,266.0,-0.2970313909236908
115,-0.03753867113217724,1.7017398461669493,0.010240399625351282,-0.4031961206172052,1973.0,1.262044106377545
116,-0.13807367028738626,0.008549440859352941,0.008549440859352941,-0.1453801917948676,8.0,-0.05153713575694463
117,-0.07955797136152443,1.4974558210813678,0.0,-0.43079615048119035,1189.0,0.639965758344907
118,-0.13952252034917456,2.284053037410315,2.284053037410315,-0.7379830746188658,1883.0,0.026746544437594277
119,-0.3340238314991324,0.05754657241125294,0.01001601735006008,-0.3406281117717682,3.0,0.05754657241125294
120,-0.3631554762972763,0.36838506394757475,0.36838506394757475,-0.5346013775789631,561.0,-0.11753443541240371
121,-0.31833480289898675,0.02075313447601168,0.0,-0.31833480289898675,12.0,-0.02196821437020191
122,-0.3105745952800515,1.2695146654369958,0.007713970455031971,-0.40369653964621743,882.0,0.9095205941931106
123,-0.11444107955735816,0.07005075900424718,0.07005075900424718,-0.17241409999399204,64.0,-0.10582966687617801
124,-0.24105088323327317,0.6888419349815738,0.6888419349815738,-0.5506097397001174,423.0,-0.145990847592518
125,-0.15617933934258998,0.2200687545678479,0.2200687545678479,-0.30838269769780813,325.0,-0.06414386126374716
126,-0.027779859414577168,1.0683742749659046,0.0,-0.20294690613305055,479.0,1.048485484330273
127,-0.3224097227368491,0.030666744301760973,0.030666744301760973,-0.3425709318658636,16.0,-0.2603536984300071
128,-0.12727123587313172,0.5960900473933666,0.0,-0.3625508928010591,233.0,0.05875865840321093
129,-0.026290513249926595,0.17655895970839963,0.016525465471382006,-0.11493940091683585,163.0,0.07739385282237876
130,-0.3231530801296889,0.008692847217627087,0.008692847217627087,-0.3289861014308548,2.0,-0.27576010719248245
131,-0.08273646188593686,1.4807938355967134,0.056353441147309,-0.3903149481386975,1441.0,0.9370970860605663
132,-0.030866898992354952,1.1700245832995653,0.0,-0.46272204347241364,1224.0,0.5665829213604558
133,-0.1635167811200332,0.5491605985657622,0.5491605985657622,-0.4600409927451057,1235.0,0.25204150719190244
134,-0.04361415337081176,0.38724314148766825,0.06896622281788534,-0.10584907886779626,227.0,0.2655214924777598
135,-0.3605403564536285,1.4408181026979965,1.4408181026979965,-0.7380142162828378,860.0,0.015249555378967106
136,-0.07142898520165464,0.6042296877552451,0.08163246390781498,-0.32153437281085073,767.0,0.1312653727044477
137,-0.4813480856019796,0.20155189983985977,0.0,-0.4813480856019796,364.0,0.057641578104527635
138,0.0,2.2810903128842748,0.0,-0.3126387194296737,2228.0,1.775379150157121
139,-0.1741592870358606,0.012499470361425402,0.012499470361425402,-0.18435442472938346,4.0,-0.15213338417863698
140,-0.3169425857671748,0.030074988870003372,0.030074988870003372,-0.33688573976333314,83.0,-0.1696178397710767
141,-0.30301433412307377,0.1908401562780082,0.1908401562780082,-0.4147109818202913,330.0,-0.261124225467095
142,0.0,4.5369926398312215,0.0,-0.7541030986757076,2471.0,0.5869974347294449
143,-0.20669679487296633,0.12849016021066428,0.12849016021066428,-0.2970224880127077,193.0,-0.1346906254739897
144,0.0,2.5950834236716345,0.0,-0.5225277205194654,2471.0,2.5950834236716345
145,-0.23287062622584864,0.11085465361984337,0.11085465361984337,-0.30942417059299787,38.0,-0.11097385217212241
146,-0.6048727640416985,0.22885620049594202,0.22885620049594202,-0.678459338205043,137.0,-0.5203409008835502
147,0.0,2.96565425915889,0.0,-0.5178130178041214,2471.0,2.96565425915889
148,-0.17502774332528115,0.0863524599081753,0.0863524599081753,-0.24060349921382773,71.0,0.06478882433579392
149,-0.16455674166301104,0.12571114221451496,0.0,-0.16455674166301104,94.0,0.11081110252285642
150,-0.09712067683484471,0.13724904206380462,0.13724904206380462,-0.20608478022837518,343.0,-0.03068953617031911
151,-0.21047987057266226,0.8411306173202671,0.28490727493949786,-0.38554310896518684,1643.0,0.5204035244882432
152,-0.21099877391355115,0.024876904812876077,0.024876904812876077,-0.23015025279498702,10.0,-0.1414151243277607
153,-0.39284601685970544,0.043844068647736156,0.043844068647736156,-0.4183480067795552,14.0,-0.3001362353477256
154,-0.32326050262565775,0.07225746168685054,0.07225746168685054,-0.3688647348653453,37.0,-0.2584647277890917
155,-0.04000303628358903,3.2592641152683637,0.0044440150710074455,-0.3966935989514394,1664.0,2.1749382392315404
156,-0.34091089983388323,0.04698279514125003,0.04698279514125003,-0.3704871720674282,19.0,-0.09601189268851429
157,-0.036565299360783676,3.4743755647527133,0.017489206947713498,-0.5334818515068993,2713.0,1.9725795116073996
158,-0.30784508687762446,0.0017599244326231833,0.0017599244326231833,-0.30906108715179614,1.0,-0.20143428869720703
159,-0.5177713070807909,0.08060350804215166,0.08060350804215166,-0.5537413220202145,29.0,-0.3206750323534856
160,-0.07895060944397647,0.16789633102025503,0.16789633102025503,-0.21136031846986802,685.0,-0.04346738406709094
161,-0.07996015811595913,0.22553948205550767,0.22553948205550767,-0.24927768109035098,378.0,0.028384734926313104
162,-0.21766830044824192,1.2652591010012202,1.2652591010012202,-0.6546391981358883,1410.0,-0.16532529010095853
163,-0.06852939044720052,0.5357324055954198,0.14385373631948783,-0.35990041767940173,963.0,0.09751214032035893
164,-0.4069758634203532,0.010336015175516522,0.010336015175516522,-0.41304266335925266,5.0,-0.34237618023560246
165,-0.264424313214757,0.25441086728186213,0.25441086728186213,-0.413608646121557,820.0,-0.1546371836975442
166,-0.011363391452402283,1.6257677967197561,0.12878510312722224,-0.5934369177480654,1958.0,0.24524235436108266
167,-0.459006655510277,0.22008533360585525,0.0,-0.5486352142980533,171.0,-0.3000520560544694
168,-0.017290115804197925,0.2857059710266363,0.0,-0.2304048721674724,727.0,0.20139531544954337
169,-0.027572465796890544,1.782028669018425,0.0,-0.4195439585717159,2456.0,1.3036330888254324
170,-0.029287342474004996,6.013047019926514,0.03626263801707208,-0.5927389407232042,2661.0,5.970538104006549
