,year,month,stock_id,cum_return
0,2000.0,11.0,2610,0.08110146401713458
1,2001.0,1.0,2707,-0.10717088902950223
2,2001.0,2.0,1475,-0.02066370250020544
3,2001.0,3.0,1210,0.12714663299663287
4,2001.0,3.0,1531,0.032851741105223375
5,2001.0,3.0,2610,-0.06291318999237827
6,2001.0,3.0,3052,-0.052598488734200144
7,2001.0,3.0,9921,-0.03441967523302347
8,2001.0,4.0,1419,-0.013436741747310688
9,2001.0,4.0,1475,0.054053162305521374
10,2001.0,4.0,1522,-0.17917555499495474
11,2001.0,4.0,1538,-0.1563386533046215
12,2001.0,4.0,2327,-0.08100658640815295
13,2001.0,4.0,2385,0.06185833333333335
14,2001.0,4.0,2387,-0.023194029869572197
15,2001.0,4.0,2417,-0.3584838226774376
16,2001.0,4.0,2482,-0.17612140066117044
17,2001.0,4.0,5388,0.07223677892036973
18,2001.0,4.0,8924,-0.1308468767958425
19,2001.0,4.0,9927,-0.14515934469319303
20,2001.0,4.0,9934,0.04731637392109067
21,2001.0,5.0,1235,0.3226518415112274
22,2001.0,5.0,1439,-0.024664423113768374
23,2001.0,5.0,1460,-0.12794015888656296
24,2001.0,5.0,1531,-0.0675535397351349
25,2001.0,5.0,1708,-0.23332191011236003
26,2001.0,5.0,2911,0.0811070590052525
27,2001.0,5.0,4205,-0.12352979962628674
28,2001.0,5.0,4716,-0.2021087150603863
29,2001.0,5.0,8916,0.0006827493822025854
30,2001.0,5.0,9924,0.32716790989660227
31,2001.0,5.0,9935,-0.09633288122956929
32,2001.0,6.0,1522,-0.19231392245877676
33,2001.0,6.0,1712,-0.15398644977890064
34,2001.0,6.0,1714,-0.02420465358597046
35,2001.0,6.0,2331,-0.06494005351044685
36,2001.0,6.0,2387,-0.02562705231341922
37,2001.0,6.0,2430,-0.27823014023119175
38,2001.0,6.0,2431,-0.19391986496364388
39,2001.0,6.0,2462,-0.02670004009623128
40,2001.0,6.0,2482,-0.3589026880220043
41,2001.0,6.0,2908,-0.06194441990121158
42,2001.0,6.0,5309,-0.07422420073150326
43,2001.0,6.0,8924,-0.03215143721504954
44,2001.0,6.0,9911,-0.31835731661632827
45,2001.0,6.0,9934,0.0726063560079333
46,2001.0,7.0,1439,-0.1511259695673247
47,2001.0,7.0,1460,-0.26983015388763043
48,2001.0,7.0,2305,-0.3787331780485307
49,2001.0,7.0,5520,-0.338357265640841
50,2001.0,8.0,2385,0.018021256026038435
51,2001.0,8.0,2911,-0.014662400907183404
52,2001.0,8.0,5309,0.11284335265292067
53,2001.0,8.0,5438,-0.05203653400183961
54,2001.0,8.0,8924,0.2324920159755408
55,2001.0,9.0,2908,-0.22378616079932856
56,2001.0,10.0,1423,0.003493315857116208
57,2001.0,10.0,1439,-0.18740280999738101
58,2001.0,10.0,1718,-0.07078597861263536
59,2001.0,10.0,4207,-0.01333101062487052
60,2001.0,11.0,1235,0.2918042210603855
61,2001.0,11.0,1725,-0.045848021124496596
62,2001.0,11.0,2108,0.18999475176852898
63,2001.0,12.0,1423,0.2140714574829754
64,2001.0,12.0,1439,0.02635702652584171
65,2001.0,12.0,1538,-0.3237802892653945
66,2001.0,12.0,2345,0.44576136055686977
67,2001.0,12.0,2355,0.1709584615478026
68,2001.0,12.0,2377,0.43908322676063616
69,2002.0,1.0,1527,0.09214771780792619
70,2002.0,1.0,1702,0.2210549123123673
71,2002.0,1.0,1726,0.0153624160747301
72,2002.0,1.0,1733,0.16246874570870506
73,2002.0,1.0,2102,0.2002583265405231
74,2002.0,1.0,2303,-0.06596787146071548
75,2002.0,1.0,2330,-0.011664018954677835
76,2002.0,1.0,2331,-0.008367899628353714
77,2002.0,1.0,2442,0.05259254141256897
78,2002.0,1.0,2462,0.0957877121522861
79,2002.0,1.0,2832,-0.09012193014638414
80,2002.0,1.0,3018,-0.1137861316774883
81,2002.0,1.0,3019,0.10094563890190655
82,2002.0,1.0,4305,0.019485614635430082
83,2002.0,1.0,4401,0.004344079592237371
84,2002.0,1.0,4503,-0.03023977678614187
85,2002.0,1.0,5315,0.054033532519566885
