date,portfolio_returns
2000-10-31,0.0
2000-11-01,-0.0014250000000000096
2000-11-02,0.0
2000-11-03,0.0
2000-11-04,-0.009126188474225305
2000-11-06,-0.03195782937714242
2000-11-07,-0.06392212664122632
2000-11-08,-0.06392212664122632
2000-11-09,-0.05478947028005943
2000-11-10,-0.04565681391889265
2000-11-13,-0.02282517301597564
2000-11-14,-0.009126188474225305
2000-11-15,-0.009126188474225305
2000-11-16,-0.07762111118297654
2000-11-17,-0.07762111118297654
2000-11-18,-0.0958864239053101
2000-11-20,-0.1415497057111441
2000-11-21,-0.08218743936355988
2000-11-22,-0.018258844835392307
2000-11-23,0.0
2000-11-24,0.0
2000-11-27,0.0
2000-11-28,-0.031384580205038315
2000-11-29,-0.031384580205038315
2000-11-30,-0.031384580205038315
2000-12-01,0.0
2000-12-02,0.0
2000-12-04,0.0
2000-12-05,0.0
2000-12-06,0.0
2000-12-07,0.0
2000-12-08,0.0
2000-12-11,0.0
2000-12-12,0.0
2000-12-13,0.0
2000-12-14,0.0
2000-12-15,0.0
2000-12-16,0.0
2000-12-18,0.0
2000-12-19,0.0
2000-12-20,0.0
2000-12-21,0.0
2000-12-22,0.0
2000-12-26,0.0
2000-12-27,0.0
2000-12-28,0.0
2000-12-29,0.0
2000-12-30,0.0
2001-01-02,-0.0014249999999998986
2001-01-03,-0.06300873747189284
2001-01-04,-0.02342160978406993
2001-01-05,-0.04101776929074241
2001-01-08,-0.06300873747189295
2001-01-09,-0.06300873747189295
2001-01-10,-0.0806048969785651
2001-01-11,-0.0850053472559632
2001-01-12,-0.09380624781075908
2001-01-15,-0.11140240731743134
2001-01-16,-0.06740918774929083
2001-01-17,-0.11140240731743134
2001-01-18,-0.0894057975333612
2001-01-29,-0.10260150676263546
2001-01-30,-0.0850053472559632
2001-01-31,-0.0894057975333612
2001-02-01,-0.10785128794807397
2001-02-02,-0.0846187346250149
2001-02-05,-0.0846187346250149
2001-02-06,-0.08793744728653208
2001-02-07,-0.10121229793260123
2001-02-08,-0.15763510725570928
2001-02-09,-0.11448871327110854
2001-02-12,-0.08461873462501501
2001-02-13,-0.0713423192865078
2001-02-14,-0.0879374472865323
2001-02-15,-0.08461873462501512
2001-02-16,-0.10785128794807408
2001-02-19,-0.10785128794807408
2001-02-20,-0.10121229793260134
2001-02-21,-0.10121229793260134
2001-02-22,-0.11780742593262583
2001-02-23,-0.12444641594809869
2001-02-26,-0.11780742593262594
2001-02-27,-0.11117000060959148
2001-03-01,-0.12628512230673894
2001-03-02,-0.1393377480881559
2001-03-05,-0.12842574702330423
2001-03-06,-0.13249373493413186
2001-03-07,-0.12978603997119997
2001-03-08,-0.12714238453727444
2001-03-09,-0.11254167464858866
2001-03-12,-0.10834320455976276
2001-03-13,-0.1339683954308919
2001-03-14,-0.10302202609474875
2001-03-15,-0.1031727125814137
2001-03-16,-0.11126254029555971
2001-03-19,-0.14894330439080694
2001-03-20,-0.15492922367242512
2001-03-21,-0.1336960473941725
2001-03-22,-0.10970946640561774
2001-03-23,-0.10889811757045542
2001-03-26,-0.10200037186422906
2001-03-27,-0.10980247615801475
2001-03-28,-0.10404589230598094
2001-03-29,-0.10379236875328446
2001-03-30,-0.10801476135120447
2001-04-02,-0.13681971820253203
2001-04-03,-0.16886873037646277
2001-04-04,-0.16597704399503954
2001-04-06,-0.14045711315749998
2001-04-09,-0.13806113416976173
2001-04-10,-0.14268018013825656
2001-04-11,-0.1372402362529217
2001-04-12,-0.12307618052311453
2001-04-13,-0.12517335532846563
2001-04-16,-0.13728147250216238
2001-04-17,-0.14584146533790865
2001-04-18,-0.126075541333728
2001-04-19,-0.12853352301237697
2001-04-20,-0.13366951509630132
2001-04-23,-0.13166522806647618
2001-04-24,-0.11200288823706706
2001-04-25,-0.11734645743026462
2001-04-26,-0.11776979208544025
2001-04-27,-0.13725716231520602
2001-04-30,-0.16048015159508322
2001-05-02,-0.19715524398299156
2001-05-03,-0.18146044436927433
2001-05-04,-0.2051929136203423
2001-05-07,-0.22070546444281325
2001-05-08,-0.23635256823326634
2001-05-09,-0.2269169755376358
2001-05-10,-0.2553986071602896
2001-05-11,-0.24353227971568947
2001-05-14,-0.24191078065642524
2001-05-15,-0.23554090876859957
2001-05-16,-0.22662266023397637
2001-05-17,-0.21662160772059724
2001-05-18,-0.22853897396110767
2001-05-21,-0.2578491601198266
2001-05-22,-0.27444178900410543
