trade_index,return
0,0.08110146401713449
1,-0.10717088902950221
2,-0.020663702500205414
3,0.12714663299663279
4,0.032851741105223285
5,-0.1332110433690342
6,-0.05259848873420012
7,-0.03441967523302345
8,-0.013436741747310667
9,0.07629336827040491
10,-0.17917555499495472
11,-0.15633865330462146
12,-0.08100658640815293
13,0.06185833333333325
14,-0.023194029869572173
15,-0.1761214006611704
16,0.07223677892036963
17,-0.13084687679584248
18,-0.145159344693193
19,0.04731637392109058
20,-0.02466442311376835
21,-0.12794015888656293
22,-0.09721170700929214
23,-0.23332191011236
24,-0.3584838226774376
25,0.0811070590052524
26,-0.12352979962628673
27,-0.20210871506038627
28,0.0006827493822024961
29,-0.09633288122956928
30,0.3226518415112275
31,-0.016006306273860106
32,-0.1539864497789006
33,-0.024204653585970435
34,-0.06494005351044682
35,-0.19391986496364386
36,-0.026700040096231257
37,-0.07422420073150325
38,0.1135535694987201
39,0.32716790989660216
40,0.024147414016032622
41,-0.12965952380952414
42,-0.16270671840581916
43,-0.3787331780485307
44,-0.27823014023119175
45,-0.22185463672380565
46,-0.06194441990121156
47,-0.338357265640841
48,-0.04128335761107003
49,-0.0024907939941461793
50,-0.08858462176776015
51,0.2020657199423829
52,-0.052036534001839586
53,0.2734347741645534
54,-0.31835731661632827
55,-0.1725289463989683
56,0.003493315857116119
57,-0.042735245901639664
58,-0.07078597861263534
59,-0.0133310106248705
60,-0.02332255509930423
61,-0.045848021124496575
62,0.1899947517685289
63,0.20984508645779823
64,0.2630575630252102
65,-0.19847019970352062
66,0.44576136055686966
67,0.1709584615478025
68,0.43908322676063627
69,0.015362416074730014
70,0.16246874570870498
71,0.20025832654052303
72,-0.06596787146071546
73,-0.011664018954677814
74,0.06050109845307662
75,0.05259254141256888
76,0.1258478961209736
77,-0.11378613167748829
78,0.10094563890190646
79,0.019485614635429995
80,0.004344079592237282
81,-0.030239776786141846
82,0.24415
83,0.0547500133040645
84,0.4358295765556425
85,0.24915637931990953
86,0.11317689108144692
87,-0.053182033327424307
88,-0.1868090596406866
89,0.03478591893780605
90,-0.027138307256188685
91,0.00282522139887944
92,0.026708568529791556
93,-0.0938968467783332
94,0.043579350025631756
95,-0.05641775765195876
96,0.013673875305060836
97,0.09214771780792609
98,0.14632426264835532
99,-0.07528676610424377
100,0.012910420442189176
101,-0.11521930368209997
102,0.2210549123123672
103,-0.09916593176097686
104,0.11228693711664119
105,-0.06728751864002434
106,0.04049701272436148
107,-0.017916822302397974
108,-0.09210763938680032
109,-0.1482527144523381
110,-0.09061056148834688
111,-0.09012193014638413
112,-0.0453223890146671
113,-0.2760281313183487
114,-0.20245917369591634
115,0.07352077463458796
116,-0.022241750449018414
117,-0.12663624212127797
118,0.054033532519566795
119,-0.252008780742687
